team,division,season,ptpct
ANA,Pacific,05-06,0.598
ANA,Pacific,06-07,0.671
ANA,Pacific,07-08,0.622
ANA,Pacific,08-09,0.555
ANA,Pacific,09-10,0.543
ANA,Pacific,10-11,0.604
ANA,Pacific,11-12,0.488
ANA,Pacific,12-13,0.688
ANA,Pacific,13-14,0.707
ANA,Pacific,14-15,0.665
ANA,Pacific,15-16,0.628
ANA,Pacific,16-17,0.64
ANA,Pacific,17-18,0.616
ANA,Pacific,18-19,0.488
ARI,Pacific,05-06,0.494
ARI,Pacific,06-07,0.409
ARI,Pacific,07-08,0.506
ARI,Pacific,08-09,0.482
ARI,Pacific,09-10,0.652
ARI,Pacific,10-11,0.604
ARI,Pacific,11-12,0.591
ARI,Pacific,12-13,0.531
ARI,Pacific,13-14,0.543
ARI,Pacific,14-15,0.341
ARI,Pacific,15-16,0.476
ARI,Pacific,16-17,0.427
ARI,Pacific,17-18,0.427
ARI,Pacific,18-19,0.524
BOS,Atlantic,05-06,0.451
BOS,Atlantic,06-07,0.463
BOS,Atlantic,07-08,0.573
BOS,Atlantic,08-09,0.707
BOS,Atlantic,09-10,0.555
BOS,Atlantic,10-11,0.628
BOS,Atlantic,11-12,0.622
BOS,Atlantic,12-13,0.646
BOS,Atlantic,13-14,0.713
BOS,Atlantic,14-15,0.585
BOS,Atlantic,15-16,0.567
BOS,Atlantic,16-17,0.579
BOS,Atlantic,17-18,0.683
BOS,Atlantic,18-19,0.652
BUF,Atlantic,05-06,0.671
BUF,Atlantic,06-07,0.689
BUF,Atlantic,07-08,0.549
BUF,Atlantic,08-09,0.555
BUF,Atlantic,09-10,0.61
BUF,Atlantic,10-11,0.585
BUF,Atlantic,11-12,0.543
BUF,Atlantic,12-13,0.5
BUF,Atlantic,13-14,0.317
BUF,Atlantic,14-15,0.329
BUF,Atlantic,15-16,0.494
BUF,Atlantic,16-17,0.476
BUF,Atlantic,17-18,0.378
BUF,Atlantic,18-19,0.463
CGY,Pacific,05-06,0.628
CGY,Pacific,06-07,0.585
CGY,Pacific,07-08,0.573
CGY,Pacific,08-09,0.598
CGY,Pacific,09-10,0.549
CGY,Pacific,10-11,0.573
CGY,Pacific,11-12,0.549
CGY,Pacific,12-13,0.438
CGY,Pacific,13-14,0.47
CGY,Pacific,14-15,0.591
CGY,Pacific,15-16,0.47
CGY,Pacific,16-17,0.573
CGY,Pacific,17-18,0.512
CGY,Pacific,18-19,0.652
CAR,Metropolitan,05-06,0.683
CAR,Metropolitan,06-07,0.537
CAR,Metropolitan,07-08,0.561
CAR,Metropolitan,08-09,0.591
CAR,Metropolitan,09-10,0.488
CAR,Metropolitan,10-11,0.555
CAR,Metropolitan,11-12,0.5
CAR,Metropolitan,12-13,0.438
CAR,Metropolitan,13-14,0.506
CAR,Metropolitan,14-15,0.433
CAR,Metropolitan,15-16,0.524
CAR,Metropolitan,16-17,0.53
CAR,Metropolitan,17-18,0.506
CAR,Metropolitan,18-19,0.604
CHI,Central,05-06,0.396
CHI,Central,06-07,0.433
CHI,Central,07-08,0.537
CHI,Central,08-09,0.634
CHI,Central,09-10,0.683
CHI,Central,10-11,0.591
CHI,Central,11-12,0.616
CHI,Central,12-13,0.802
CHI,Central,13-14,0.652
CHI,Central,14-15,0.622
